provincia,canton,pobres_2010_n,pobres_2022_n,pct_nbi_2010,pct_nbi_2022,variacion_pct
Los Ríos,Buena Fe,47638,38060,0.756,0.513,-0.24
Pastaza,Mera,6397,7642,0.622,0.512,-0.11
Los Ríos,Quevedo,124086,104245,0.710,0.508,-0.20
Santa Elena,Santa Elena,115360,94320,0.806,0.507,-0.30
Zamora Chinchipe,El Pangui,6487,6349,0.753,0.502,-0.25
Sucumbíos,Sucumbíos,2669,1578,0.787,0.497,-0.29
Loja,Calvas,19597,12836,0.699,0.497,-0.20
Pastaza,Pastaza,41602,40844,0.672,0.495,-0.18
Chimborazo,Guano,34506,23848,0.809,0.494,-0.31
Chimborazo,Penipe,4863,3235,0.736,0.491,-0.25
Pastaza,Santa Clara,2986,2218,0.839,0.491,-0.35
Cotopaxi,Salcedo,43706,32915,0.752,0.488,-0.26
Guayas,Nobol,14556,11555,0.743,0.486,-0.26
Guayas,Playas,28564,28212,0.686,0.481,-0.20
Zamora Chinchipe,Yantzaza,13477,11015,0.731,0.472,-0.26
Loja,Puyango,11892,7639,0.771,0.470,-0.30
Guayas,Balao,17599,11980,0.854,0.467,-0.39
Cañar,Cañar,43949,24294,0.755,0.467,-0.29
Guayas,General Antonio Elizalde,6904,5485,0.673,0.465,-0.21
Cotopaxi,La Maná,30361,24821,0.721,0.462,-0.26
Tungurahua,Santiago De Píllaro,27149,19429,0.709,0.458,-0.25
Guayas,Milagro,114546,89144,0.699,0.455,-0.24
Imbabura,San Miguel De Urcuquí,11296,8146,0.722,0.454,-0.27
Cañar,La Troncal,37468,28153,0.703,0.454,-0.25
Loja,Macará,11679,8193,0.629,0.452,-0.18
Guayas,Naranjito,25721,19882,0.687,0.451,-0.24
Santo Domingo De Los Tsáchilas,Santo Domingo,273030,198162,0.742,0.450,-0.29
Carchi,Mira,9026,5706,0.745,0.449,-0.30
Santa Elena,La Libertad,64130,49971,0.669,0.446,-0.22
Imbabura,Otavalo,70881,50831,0.674,0.445,-0.23
Tungurahua,San Pedro De Pelileo,42697,28357,0.755,0.444,-0.31
Bolívar,Echeandía,8558,6392,0.679,0.436,-0.24
Santa Elena,Salinas,40488,37726,0.607,0.435,-0.17
Cañar,Déleg,4305,2627,0.744,0.435,-0.31
Cañar,Biblián,14120,8165,0.704,0.433,-0.27
Manabí,Portoviejo,179681,138614,0.648,0.432,-0.22
El Oro,Zaruma,15249,10467,0.628,0.431,-0.20
Pichincha,San Miguel De Los Bancos,12474,5804,0.750,0.428,-0.32
Azuay,Gualaceo,29288,18381,0.691,0.426,-0.27
Imbabura,Pimampiro,9231,5672,0.712,0.425,-0.29
El Oro,Huaquillas,35551,23258,0.738,0.413,-0.32
Tungurahua,Tisaleo,9755,5664,0.804,0.407,-0.40
El Oro,Atahualpa,3431,2471,0.591,0.404,-0.19
Bolívar,Caluma,8358,6294,0.639,0.404,-0.23
Carchi,Bolívar,11292,6329,0.786,0.404,-0.38
Napo,Quijos,3775,2568,0.630,0.398,-0.23
Guayas,Coronel Marcelino Maridueña,9105,5236,0.758,0.398,-0.36
El Oro,Arenillas,19104,12843,0.720,0.397,-0.32
Azuay,Camilo Ponce Enríquez,11013,8928,0.733,0.392,-0.34
Esmeraldas,Esmeraldas,106463,80696,0.562,0.384,-0.18
Pichincha,Pedro Moncayo,23500,15433,0.715,0.383,-0.33
Cotopaxi,Latacunga,110903,81158,0.650,0.381,-0.27
Napo,El Chaco,5087,3482,0.650,0.378,-0.27
Carchi,Espejo,8460,5466,0.636,0.376,-0.26
Azuay,Santa Isabel,14322,7756,0.695,0.374,-0.32
Chimborazo,Chambo,8244,4998,0.698,0.373,-0.32
El Oro,Las Lajas,3408,2122,0.715,0.371,-0.34
Galápagos,Santa Cruz,7939,6267,0.567,0.365,-0.20
Zamora Chinchipe,Zamora,14782,10856,0.602,0.362,-0.24
Chimborazo,Cumandá,8855,6006,0.685,0.362,-0.32
El Oro,Pasaje,42472,29899,0.588,0.358,-0.23
El Oro,Piñas,14464,10490,0.559,0.357,-0.20
Pichincha,Cayambe,57333,37195,0.667,0.354,-0.31
Carchi,Montúfar,19163,10266,0.629,0.347,-0.28
Cañar,El Tambo,6903,3209,0.696,0.346,-0.35
Guayas,Daule,91930,76862,0.751,0.346,-0.41
Loja,Catamayo,19239,12185,0.632,0.346,-0.29
El Oro,Machala,138170,102081,0.567,0.335,-0.23
Azuay,Girón,7871,4031,0.630,0.331,-0.30
Azuay,Chordeleg,8308,3996,0.662,0.330,-0.33
Azuay,Paute,17692,8696,0.699,0.325,-0.37
Manabí,Manta,123111,87822,0.546,0.324,-0.22
Guayas,Samborondón,32809,31597,0.501,0.321,-0.18
Azuay,Guachapala,2125,1144,0.625,0.319,-0.31
Azuay,San Fernando,2257,1171,0.566,0.313,-0.25
Carchi,San Pedro De Huaca,4982,2465,0.642,0.313,-0.33
El Oro,Portovelo,6951,4223,0.586,0.312,-0.27
Tungurahua,Mocha,4646,2261,0.686,0.312,-0.37
El Oro,Santa Rosa,38089,24283,0.559,0.303,-0.26
Galápagos,Isabela,1129,914,0.522,0.301,-0.22
Carchi,Tulcán,40110,27069,0.470,0.296,-0.17
El Oro,Marcabelí,2891,1988,0.531,0.290,-0.24
Guayas,Guayaquil,1111238,785333,0.475,0.287,-0.19
Imbabura,Antonio Ante,23113,14640,0.528,0.273,-0.26
Azuay,Sevilla De Oro,3967,1233,0.708,0.268,-0.44
Cañar,Azogues,39340,19653,0.553,0.265,-0.29
Tungurahua,Ambato,162033,96344,0.494,0.261,-0.23
Pichincha,Mejía,47217,26535,0.581,0.261,-0.32
Azuay,El Pan,1870,711,0.616,0.256,-0.36
Chimborazo,Riobamba,104054,65928,0.464,0.253,-0.21
Loja,Loja,92135,60634,0.434,0.244,-0.19
Tungurahua,Cevallos,4520,2423,0.554,0.233,-0.32
Tungurahua,Baños De Agua Santa,8654,4850,0.442,0.224,-0.22
Galápagos,San Cristóbal,2910,1748,0.419,0.212,-0.21
Imbabura,Ibarra,71172,44755,0.395,0.207,-0.19
Azuay,Cuenca,190867,117745,0.381,0.198,-0.18
Pichincha,Distrito Metropolitano De Quito,658708,367089,0.295,0.137,-0.16
Pichincha,Rumiñahui,27039,12271,0.315,0.114,-0.20
